[2025-05-16 13:12:49] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":706.79,"bindings":[]} 
[2025-05-16 13:12:49] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":728.0,"bindings":[]} 
[2025-05-16 13:12:52] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1985.16,"bindings":[]} 
[2025-05-16 13:12:54] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":722.1,"bindings":[]} 
[2025-05-16 13:12:55] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1165.64,"bindings":[]} 
[2025-05-16 13:13:12] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":785.77,"bindings":[]} 
[2025-05-16 13:13:16] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":770.54,"bindings":[]} 
[2025-05-16 13:13:19] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":687.7,"bindings":[]} 
[2025-05-16 13:13:23] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1035.43,"bindings":[]} 
[2025-05-16 13:13:24] local.INFO: Slow query detected: delete from "cache" {"time":720.76,"bindings":[]} 
[2025-05-16 13:13:38] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1896.92,"bindings":[]} 
[2025-05-16 13:13:48] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":2313.69,"bindings":[]} 
[2025-05-16 13:13:54] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":855.71,"bindings":[]} 
[2025-05-16 13:13:54] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":858.68,"bindings":[]} 
[2025-05-16 13:13:55] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1024.79,"bindings":[]} 
[2025-05-16 13:14:02] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":718.0,"bindings":[]} 
[2025-05-16 13:14:07] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":925.13,"bindings":[]} 
[2025-05-16 13:14:55] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1378.91,"bindings":[]} 
[2025-05-16 13:14:57] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1443.33,"bindings":[]} 
[2025-05-16 13:14:59] local.INFO: Slow query detected: delete from "cache" where "key" in (?, ?) {"time":2219.2,"bindings":["laravel_cache_translations.en","laravel_cache_illuminate:cache:flexible:created:translations.en"]} 
[2025-05-16 13:15:00] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1541.06,"bindings":[]} 
[2025-05-16 13:15:00] local.INFO: Slow query detected: insert into "cache" ("expiration", "key", "value") values (?, ?, ?) on conflict ("key") do update set "expiration" = "excluded"."expiration", "key" = "excluded"."key", "value" = "excluded"."value" {"time":906.86,"bindings":[1747995299,"laravel_cache_translations.en.message","a:4:{s:7:\"welcome\";s:22:\"Welcome to our website\";s:8:\"about_us\";s:8:\"About Us\";s:7:\"contact\";s:7:\"Contact\";s:8:\"services\";s:8:\"Services\";}"]} 
[2025-05-16 13:15:09] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":925.79,"bindings":[]} 
[2025-05-16 13:15:13] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":691.72,"bindings":[]} 
[2025-05-16 13:15:17] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":921.52,"bindings":[]} 
[2025-05-16 13:15:22] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":924.49,"bindings":[]} 
[2025-05-16 13:15:23] local.INFO: Slow query detected: delete from "cache" {"time":693.92,"bindings":[]} 
[2025-05-16 13:15:27] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1509.38,"bindings":[]} 
[2025-05-16 13:15:34] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":2079.48,"bindings":[]} 
[2025-05-16 13:15:36] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1001.72,"bindings":[]} 
[2025-05-16 13:15:44] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1614.26,"bindings":[]} 
[2025-05-16 13:15:54] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":820.41,"bindings":[]} 
[2025-05-16 13:15:56] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1806.62,"bindings":[]} 
[2025-05-16 13:16:02] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1842.81,"bindings":[]} 
[2025-05-16 13:16:10] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1338.51,"bindings":[]} 
[2025-05-16 13:16:33] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":920.87,"bindings":[]} 
[2025-05-16 13:16:34] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":802.06,"bindings":[]} 
[2025-05-16 13:16:35] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1368.0,"bindings":[]} 
[2025-05-16 13:16:50] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":919.11,"bindings":[]} 
[2025-05-16 13:16:51] local.INFO: Slow query detected: select count(distinct "device_id") as aggregate from "sensor_data" {"time":1001.21,"bindings":[]} 
[2025-05-16 13:16:52] local.INFO: Slow query detected: select count(*) as aggregate from "sensor_data" where "status" = ? and "created_at" > ? {"time":1126.91,"bindings":[true,"2025-05-15 13:16:51"]} 
[2025-05-16 13:16:55] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":1114.82,"bindings":[]} 
[2025-05-16 13:16:56] local.INFO: Slow query detected: SET statement_timeout = '30s' {"time":712.13,"bindings":[]} 
